30000000,862,tt0114709,en,Toy Story,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,1995-10-30,7.7
65000000,8844,tt0113497,en,Jumanji,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,1995-12-15,6.9
16000000,31357,tt0114885,en,Waiting to Exhale,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,1995-12-22,6.1
60000000,949,tt0113277,en,Heat,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,1995-12-15,7.7
58000000,11860,tt0114319,en,Sabrina,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,1995-12-15,6.2
35000000,9091,tt0114576,en,Sudden Death,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,1995-12-22,5.5
58000000,710,tt0113189,en,GoldenEye,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,1995-11-16,6.6
62000000,9087,tt0112346,en,The American President,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,1995-11-17,6.5
44000000,10858,tt0113987,en,Nixon,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,1995-12-22,7.1
98000000,1408,tt0112760,en,Cutthroat Island,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1995-12-22,5.7
11000000,687,tt0112818,en,Dead Man Walking,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,1995-12-29,7.3
52000000,524,tt0112641,en,Casino,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1995-11-22,7.8
16500000,4584,tt0114388,en,Sense and Sensibility,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,1995-12-13,7.2
4000000,5,tt0113101,en,Four Rooms,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,1995-12-09,6.5
30000000,9273,tt0112281,en,Ace Ventura: When Nature Calls,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,1995-11-10,6.1
60000000,11517,tt0113845,en,Money Train,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,1995-11-21,5.4
30250000,8012,tt0113161,en,Get Shorty,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,1995-10-20,6.4
50000000,9691,tt0112401,en,Assassins,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,1995-10-06,6.0
3600000,451,tt0113627,en,Leaving Las Vegas,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,1995-10-27,7.1
12000000,9263,tt0114011,en,Now and Then,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,1995-10-20,6.6
18000000,902,tt0112682,fr,La Cité des Enfants Perdus,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,1995-05-16,7.6
100,63,tt0114746,en,Twelve Monkeys,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,1995-12-29,7.4
19000000,35196,tt0114272,en,Restoration,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,1995-12-29,6.3
30000000,9598,tt0112431,en,Babe,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,1995-07-18,6.0
12000000,9603,tt0112697,en,Clueless,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,1995-07-19,6.9
10000000,11443,tt0112819,en,Dead Presidents,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,1995-10-06,6.6
18000000,9312,tt0113855,en,Mortal Kombat,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,1995-08-18,5.4
20000000,577,tt0114681,en,To Die For,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,1995-05-20,6.7
10000000,11861,tt0113347,en,How To Make An American Quilt,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,1995-10-06,6.5
33000000,807,tt0114369,en,Se7en,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,1995-09-22,8.1
55000000,10530,tt0114148,en,Pocahontas,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,1995-06-14,6.7
6000000,629,tt0114814,en,The Usual Suspects,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,1995-07-19,8.1
15000000,11448,tt0113819,en,Mighty Aphrodite,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,1995-09-13,6.7
45000000,11359,tt0113419,en,The Indian in the Cupboard,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,1995-07-14,5.9
20000000,17182,tt0116260,en,Eye for an Eye,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,5.8
15000000,9536,tt0115683,en,Bio-Dome,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,1996-01-12,4.4
3500000,10634,tt0113118,en,Friday,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,1995-04-26,7.0
19000000,755,tt0116367,en,From Dusk Till Dawn,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,1996-01-19,6.9
50000000,11859,tt0113010,en,Fair Game,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,1995-11-03,4.1
15000000,36929,tt0115676,en,Big Bully,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,1996-01-26,3.9
20000000,9102,tt0114367,en,Screamers,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,1995-09-08,6.1
44000000,9623,tt0116731,en,The Juror,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,1996-02-02,5.5
8000000,400,tt0114660,en,Things to Do in Denver When You're Dead,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,1995-12-01,6.7
900000,880,tt0112379,nl,Antonia,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,1995-09-12,7.2
38000000,10534,tt0118158,en,White Squall,/3a5nomeyzJF4gG26HouCtce99ki.jpg,1996-02-02,6.3
16000000,17414,tt0116151,en,Dunston Checks In,/lXSWbUA3T2o792SYdbfFKFTcSC1.jpg,1996-01-12,5.1
8169363,2086,tt0113972,en,Nick of Time,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,1995-11-22,6.1
47000000,9095,tt0117002,en,Mary Reilly,/Oesh4pN5J2ing4flkgkiVdxILP.jpg,1996-02-23,5.7
14000000,12158,tt0114825,en,Vampire in Brooklyn,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,1995-10-26,4.5
50000000,9208,tt0115759,en,Broken Arrow,/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg,1996-02-09,5.7
